Entity,SDG 14.1 (%)
Albania,14.28571
Angola,55.55556
Australia,75.4
Belgium,84.61538
Bulgaria,16.66667
Chile,28
Colombia,17.3913
Croatia,20
Cuba,96.15385
Cyprus,87.5
Estonia,87.5
Finland,80
Gambia,77.77778
Indonesia,23.52941
Ireland,50
Italy,14.28571
Japan,71.42857
Kazakhstan,85.18519
Kenya,28.57143
Malaysia,47.36842
Mozambique,37.5
Namibia,50
New Zealand,82.6087
Nicaragua,77.77778
Poland,60
Portugal,85.71429
Qatar,74.35897
Seychelles,30
Spain,72.72727
Sweden,69.23077
Trinidad and Tobago,31.25
Tunisia,44.44444
Turkey,16.66667
Ukraine,63.63636
Tanzania,96