Country Name,Country Code,Total Tonnes,Capture,Aquaculture
Afghanistan,AFG,12607,1500,11107
Albania,ALB,18282.5,9641.5,8641
Algeria,DZA,83979.29,79200,4779.29
American Samoa,ASM,1078.72,1058.72,20
Andorra,AND,..,0,..
Angola,AGO,531772,528964,2808
Antigua and Barbuda,ATG,3225,3205,20
Argentina,ARG,856252.8,852565.8,3687
Armenia,ARM,19700,770,18930
Aruba,ABW,166.5,165,1.5
Australia,AUS,297232.81,171026.48,126206.33
Austria,AUT,5270.39,350,4920.39
Azerbaijan,AZE,1971,1464,507
"Bahamas, The",BHS,8704.85,8704.85,0
Bahrain,BHR,15735.5,15720,15.5
Bangladesh,BGD,4621227.99,1982482.99,2638745
Barbados,BRB,872.07,846.57,25.5
Belarus,BLR,9115.03,611.23,8503.8
Belgium,BEL,18160,17937,223
Belize,BLZ,192226.2,191621.2,605
Benin,BEN,78765,74615,4150
Bermuda,BMU,..,419,..
Bhutan,BTN,208,15,193
Bolivia,BOL,11453,7600,3853
Bosnia and Herzegovina,BIH,4123.6,305,3818.6
Botswana,BWA,201,38,163
Brazil,BRA,1410978.84,760622.55,650356.29
British Virgin Islands,VGB,1133.83,1132.83,1
Brunei Darussalam,BRN,20062.92,15295,4767.92
Bulgaria,BGR,24182.89,9009.27,15173.62
Burkina Faso,BFA,30609,29731,878
Burundi,BDI,21040,19550,1490
Cabo Verde,CPV,11651.87,11623.87,28
Cambodia,KHM,856399.99,508049.99,348350
Cameroon,CMR,300130,290330,9800
Canada,CAN,945953.64,754504.64,191449
Cayman Islands,CYM,135,125,10
Central African Republic,CAF,28215,28000,215
Chad,TCD,103110,103000,110
Channel Islands,CHI,3332.51,2187.51,1145
Chile,CHL,3833592.38,2390072.38,1443520
China,CHN,85948133.98,13142836.98,72805297
Colombia,COL,321390.18,128869.15,192521.03
Comoros,COM,..,19356.06,..
"Congo, Dem. Rep.",COD,233860,228665,5195
"Congo, Rep.",COG,70330,69419,911
Costa Rica,CRI,46432.13,29122.73,17309.4
Cote d'Ivoire,CIV,111015.36,105295.36,5720
Croatia,HRV,89252.92,62422.22,26830.7
Cuba,CUB,40717.8,18053.2,22664.6
Curacao,CUW,25027.24,25027.24,0
Cyprus,CYP,9263.63,1401.33,7862.3
Czechia,CZE,24305,3314,20991
Denmark,DNK,507097.28,466503.08,40594.2
Djibouti,DJI,..,3088.9,..
Dominica,DMA,288.97,287.97,1
Dominican Republic,DOM,20396.88,17666.88,2730
Ecuador,ECU,1760053.89,863618.6,896435.29
"Egypt, Arab Rep.",EGY,2001959.4,425770,1576189.4
El Salvador,SLV,71753.74,59004.89,12748.85
Equatorial Guinea,GNQ,6322.12,6307.12,15
Eritrea,ERI,4578.16,4574.16,4
Estonia,EST,73085,72235.55,849.45
Eswatini,SWZ,165,65,100
Ethiopia,ETH,61390,60650,740
Faroe Islands,FRO,656363.52,540603.52,115760
Fiji,FJI,33080.58,32874.48,206.1
Finland,FIN,139370.4,124971,14399.4
France,FRA,708995.3,510109.6,198885.7
French Polynesia,PYF,14801.85,13243.01,1558.84
Gabon,GAB,29925,29860,65
"Gambia, The",GMB,52686.97,52651.97,35
Georgia,GEO,220365.45,217575.05,2790.4
Germany,DEU,220311.85,187662.85,32649
Ghana,GHA,482141.55,392761.55,89380
Gibraltar,GIB,..,1,..
Greece,GRC,203557.57,59632,143925.57
Greenland,GRL,..,271027,..
Grenada,GRD,1046.48,1023.98,22.5
Guam,GUM,140.69,25.69,115
Guatemala,GTM,43665.51,11082.06,32583.45
Guinea,GIN,326270,325120,1150
Guinea-Bissau,GNB,63231,63221,10
Guyana,GUY,34357.98,34216.25,141.73
Haiti,HTI,17830,16220,1610
Honduras,HND,79518.19,16250.39,63267.8
"Hong Kong SAR, China",HKG,119087.85,115178.98,3908.87
Hungary,HUN,22447.27,4600.53,17846.74
Iceland,ISL,1109563.31,1056427.31,53136
India,IND,14433204.99,5024904.99,9408300
Indonesia,IDN,21813412.8,7206879.2,14606533.6
"Iran, Islamic Rep.",IRN,1258202.73,779465.73,478737
Iraq,IRQ,66373.69,43679.69,22694
Ireland,IRL,276257.85,234158.85,42099
Isle of Man,IMN,..,3041.34,..
Israel,ISR,16910,2035,14875
Italy,ITA,296357.97,150496.07,145861.9
Jamaica,JAM,11840.2,10956,884.2
Japan,JPN,4114569.54,3150889.94,963679.6
Jordan,JOR,2810,665,2145
Kazakhstan,KAZ,46895.72,41457.32,5438.4
Kenya,KEN,152727.53,130902.53,21825
Kiribati,KIR,191167.52,191165.52,2
"Korea, Dem. People's Rep.",PRK,888630,208070,680560
"Korea, Rep.",KOR,3742566.29,1314889.31,2427676.98
Kosovo,XKX,..,..,..
Kuwait,KWT,3975,3525,450
Kyrgyz Republic,KGZ,10320,20,10300
Lao PDR,LAO,206008,71000,135008
Latvia,LVA,62559.51,61658.11,901.4
Lebanon,LBN,3358,2580,778
Lesotho,LSO,1556.3,55,1501.3
Liberia,LBR,25444.14,25169.14,275
Libya,LBY,31961.33,31951.33,10
Liechtenstein,LIE,..,0,..
Lithuania,LTU,101290.2,96152.49,5137.71
Luxembourg,LUX,..,0,..
"Macao SAR, China",MAC,..,1500,..
Madagascar,MDG,130333.1,113937.24,16395.86
Malawi,MWI,180508,170560,9948
Malaysia,MYS,1754208.98,1337230.57,416978.41
Maldives,MDV,..,144993.2,..
Mali,MLI,115584,107100,8484
Malta,MLT,18936.13,2502.89,16433.24
Marshall Islands,MHL,95932.84,95932.72,0.12
Mauritania,MRT,..,860217.11,..
Mauritius,MUS,32955.22,30639.7,2315.52
Mexico,MEX,1875565.85,1628652.14,246913.71
"Micronesia, Fed. Sts.",FSM,166333.97,166333.97,0
Moldova,MDA,12905,0,12905
Monaco,MCO,..,1,..
Mongolia,MNG,..,0,..
Montenegro,MNE,1666,808,858
Morocco,MAR,1434205.43,1432199.14,2006.29
Mozambique,MOZ,376763.2,373563.2,3200
Myanmar,MMR,2594956.87,1665740,929216.87
Namibia,NAM,411170.46,410849.46,321
Nauru,NRU,120409.5,120409,0.5
Nepal,NPL,121854,21000,100854
Netherlands,NLD,340131,299541,40590
New Caledonia,NCL,4715.48,3304.96,1410.52
New Zealand,NZL,459936.81,343097.81,116839
Nicaragua,NIC,86280.43,55274.53,31005.9
Niger,NER,47672,47200,472
Nigeria,NGA,1080855,805210,275645
North Macedonia,MKD,3683,514,3169
Northern Mariana Islands,MNP,230.21,189.21,41
Norway,NOR,4220624.48,2555512.43,1665112.05
Oman,OMN,923786.32,922083.32,1703
Pakistan,PAK,660586,496059,164527
Palau,PLW,804.2,786,18.2
Panama,PAN,183773.64,177069.2,6704.44
Papua New Guinea,PNG,194786.47,188664.47,6122
Paraguay,PRY,31710,17560,14150
Peru,PER,6726988.61,6576171.02,150817.59
Philippines,PHL,4114594.42,1842066.89,2272527.53
Poland,POL,246171.5,201384.5,44787
Portugal,PRT,199046.02,179529.54,19516.48
Puerto Rico,PRI,1598,1580,18
Qatar,QAT,16668.4,16554.5,113.9
Romania,ROU,18064.6,6350.6,11714
Russian Federation,RUS,5487045,5167703,319342
Rwanda,RWA,42407.3,32094,10313.3
Samoa,WSM,9186.25,9176.25,10
San Marino,SMR,..,0,..
Sao Tome and Principe,STP,..,6019.8,..
Saudi Arabia,SAU,181948.66,67459,114489.66
Senegal,SEN,515107.63,513957.13,1150.5
Serbia,SRB,9661.89,2354,7307.89
Seychelles,SYC,139174.16,139174.16,0
Sierra Leone,SLE,205015,204900,115
Singapore,SGP,5549.88,306.32,5243.56
Sint Maarten (Dutch part),SXM,..,253,..
Slovak Republic,SVK,4119,1815,2304
Slovenia,SVN,1954.7,268.8,1685.9
Solomon Islands,SLB,62314.41,49853.67,12460.74
Somalia,SOM,..,30000,..
South Africa,ZAF,501854.93,491329.61,10525.32
South Sudan,SSD,32545,32500,45
Spain,ESP,1088454.16,808544.14,279910.02
Sri Lanka,LKA,431255.45,380278.23,50977.22
St. Kitts and Nevis,KNA,371.42,369.42,2
St. Lucia,LCA,1625.19,1414.47,210.72
St. Martin (French part),MAF,..,90,..
St. Vincent and the Grenadines,VCT,1599.28,1586.28,13
Sudan,SDN,44450,34550,9900
Suriname,SUR,32170,32130,40
Sweden,SWE,175222.28,159969.28,15253
Switzerland,CHE,3849.93,1485.93,2364
Syrian Arab Republic,SYR,6660,4310,2350
Tajikistan,TJK,4389.22,2350.22,2039
Tanzania,TZA,621057.55,514575.42,106482.13
Thailand,THA,2402021.25,1412123.25,989898
Timor-Leste,TLS,6024,4933,1091
Togo,TGO,18866,17984,882
Tonga,TON,1265.21,1165.21,100
Trinidad and Tobago,TTO,13102.37,13084.17,18.2
Tunisia,TUN,150320.65,124243.45,26077.2
Turkiye,TUR,799844,328158,471686
Turkmenistan,TKM,15202,15042,160
Turks and Caicos Islands,TCA,2277,2277,0
Tuvalu,TUV,31097.01,31096.01,1
Uganda,UGA,760545.36,621986.96,138558.4
Ukraine,UKR,79388.29,62506.49,16881.8
United Arab Emirates,ARE,63851.94,61189,2662.94
United Kingdom,GBR,864698.11,634418.61,230279.5
United States,USA,4731047.61,4282433,448614.61
Uruguay,URY,66402.91,66299.91,103
Uzbekistan,UZB,171933.01,53000.01,118933
Vanuatu,VUT,55934.96,55931.96,3
"Venezuela, RB",VEN,276700.94,223099.94,53601
Vietnam,VNM,8289523.98,3540250.15,4749273.83
Virgin Islands (U.S.),VIR,428.32,420.32,8
West Bank and Gaza,PSE,5347.7,4660.7,687
"Yemen, Rep.",YEM,131316.52,131306.52,10
Zambia,ZMB,168480,105125,63355
Zimbabwe,ZWE,27791.82,22734,5057.82
Africa Eastern and Southern,AFE,4477326.09,4122458.3,410243.65
Africa Western and Central,AFW,3702946.64,4163673.25,399490.5
Arab World,ARB,5168707.83,4314308.72,1767061.18
Caribbean small states,CSS,301430.01,299446.16,1983.85
Central Europe and the Baltics,CEB,667432.59,519211.07,148221.52
Early-demographic dividend,EAR,68669282.6,33768335.84,35049028.86
East Asia & Pacific,EAS,139592229.2,37713814.18,101879915.1
East Asia & Pacific (excluding high income),EAP,129716896.4,31763219.01,97953677.4
East Asia & Pacific (IDA & IBRD countries),TEA,128947597.2,31674499.29,97273097.9
Euro area,EMU,3767120.68,2808966.22,958154.46
Europe & Central Asia,ECS,18629850.86,14689002.28,4214918.92
Europe & Central Asia (excluding high income),ECA,6940673.6,5913289.09,1027384.51
Europe & Central Asia (IDA & IBRD countries),TEC,7294162.62,6183446.41,1110716.21
European Union,EUU,4873864.42,3722519.7,1151344.72
Fragile and conflict affected situations,FCS,6425143.22,5093721.93,1380777.35
Heavily indebted poor countries (HIPC),HPC,5461651.92,5776940.27,600304.62
High income,HIC,32763307.97,23684629.76,9355010.55
IBRD only,IBD,170460591.4,58372987.64,112087603.8
IDA & IBRD total,IBT,187886716,71440487.33,117509903.8
IDA blend,IDB,2714456.2,2110063.06,604393.14
IDA only,IDX,14711668.43,10957436.63,4817906.87
IDA total,IDA,17426124.63,13067499.69,5422300.01
Late-demographic dividend,LTE,115938669.4,33342572.77,82596096.6
Latin America & Caribbean,LCN,18093653.62,14245391.92,3848604.7
Latin America & Caribbean (excluding high income),LAC,13676142.15,11331570.09,2344572.06
Latin America & the Caribbean (IDA & IBRD countries),TLA,18012593.01,14186716.91,3825876.1
Least developed countries: UN classification,LDC,13674873.02,10027043.79,4566511.1
Low & middle income,LMY,183832248.9,68269389.45,116626534.5
Low income,LIC,4535569.68,3613669.86,971255.88
Lower middle income,LMC,68284285.76,30874320.56,38298647.07
Middle East & North Africa,MEA,6418306.69,4154189.17,2267206.42
Middle East & North Africa (excluding high income),MNA,5176494.74,3063120.46,2116463.18
Middle East & North Africa (IDA & IBRD countries),TMN,5171147.04,3058459.76,2115776.18
Middle income,MIC,179719432.2,65092370.26,115660737
North America,NAC,5677001.25,5037356.64,640063.61
Not classified,INX,..,..,..
OECD members,OED,32097941.32,22412428.25,9685513.07
Other small states,OSS,2020251.99,2103835.82,89874.13
Pacific island small states,PSS,767526.45,754724.79,12801.66
Post-demographic dividend,PST,23826902.07,16554286.7,7274115.37
Pre-demographic dividend,PRE,6522892.81,6708350.09,724115.89
Small states,SST,3089208.45,3158006.77,104659.64
South Asia,SAS,20280943.43,8051233.41,12374703.22
South Asia (IDA & IBRD),TSA,20280943.43,8051233.41,12374703.22
Sub-Saharan Africa,SSF,8180272.73,8286131.55,809734.15
Sub-Saharan Africa (excluding high income),SSA,8041098.57,8146957.39,809734.15
Sub-Saharan Africa (IDA & IBRD countries),TSS,8180272.73,8286131.55,809734.15
Upper middle income,UMC,111435146.4,34218049.7,77362089.89
World,WLD,216872257.8,92177119.15,126035146.1